词语,个数
君,163
僕,103
たい,99
いつ,83
今,74
あなた,68
手,65
you,62
作曲,56
誰,53
空,49
心,48
言葉,45
中,44
夢,43
時,43
なんて,41
いい,40
ひと,40
世界,39
どう,38
胸,38
じゃ,37
いく,37
くれ,35
明日,35
見,34
.,33
日,32
だろう,31
-,31
me,30
度,30
きっと,30
I'm,30
光,29
好き,29
日々,28
恋,28
雨,28
know,28
忘れ,27
まだ,27
夜,26
涙,26
声,26
まま,26
/,26
my,26
人,25
止め,25
ただ,25
生き,25
みたい,25
風,24
たく,24
ずっと,24
目,24
想い,24
未来,24
We,24
道,23
消え,22
ねぇ,22
無い,22
少し,22
強く,21
たって,21
全部,21
伝え,21
愛,21
on,21
夏,20
こんな,20
信じ,20
：,20
どんな,20
are,20
花,19
ゆく,19
幸せ,19
泣い,19
will,19
a,19
一,18
今日,18
笑っ,18
場所,18
あたし,18
ばかり,18
自分,17
そんな,17
思い出,17
さえ,17
知っ,16
終わり,16
愛し,16
言わ,16
for,16
！,15
すべて,15
ほら,15
不,15
くらい,15
言え,15
しまう,15
知ら,15
見え,15
確か,15
So,15
can,15
咲い,14
行く,14
そば,14
なれ,14
名前,14
しまっ,14
最後,14
思う,14
home,14
星,14
意味,13
隠し,13
離さ,13
深く,13
ふたり,13
嘘,13
歌,13
月,13
同じ,13
思っ,13
み,13
他,13
いこう,13
出す,12
きみ,12
小さな,12
》,12
希望,12
年,12
',12
方,12
（,12
And,12
But,12
ぬ,12
?,12
I'll,11
運命,11
描い,11
記憶,11
抱きしめ,11
笑顔,11
【,11
】,11
息,11
be,11
in,11
待っ,11
くれる,11
全て,11
前,11
事,11
まるで,11
音,11
強,11
気持ち,11
なれる,10
影,10
痛み,10
会え,10
ひとり,10
会い,10
なきゃ,10
#NAME?,10
Don,10
t,10
思い,10
死ん,10
that,10
遠く,10
向こう,10
if,10
we,10
our,10
描く,10
いけ,10
つない,10
悲しみ,9
照らし,9
わかっ,9
色,9
きれ,9
歩き,9
欲しい,9
歌う,9
期待,9
変わら,9
気付い,9
様,9
時間,9
生まれ,9
大切,9
理由,8
all,8
ありがとう,8
don't,8
続け,8
雲,8
水野良樹,8
春,8
迷わ,8
[,8
],8
やっと,8
Weakness!!,8
carry,8
遠い,8
抱え,8
しか,8
来,8
than,8
waiting,8
The,8
like,8
fire,8
Now,8
孤独,8
モノ,8
。,8
晴れ,8
谁,8
いける,7
why,7
笑う,7
思い出す,7
すぐ,7
届か,7
ぼく,7
大人,7
すぎる,7
願い,7
なか,7
ぜ,7
!,7
花火,7
先,7
二,7
this,7
time,7
果て,7
brighter,7
闇,7
本当,7
溶け,7
願う,7
やる,7
気付け,7
just,7
back,7
let's,7
world,7
sun,7
no,7
照れ,7
ダーリン,7
見上げ,7
怖く,7
てっ,7
いま,7
あえる,7
さよなら,7
sky,6
変わっ,6
優しい,6
触れ,6
傍,6
終わら,6
わたし,6
優しく,6
窓,6
编曲,6
る,6
もっと,6
曖昧,6
わかる,6
is,6
越え,6
景色,6
無く,6
lead,6
∶,6
誓っ,6
ちょっと,6
痛い,6
来る,6
歩く,6
よかっ,6
奇跡,6
呼ん,6
瞬間,6
無,6
been,6
by,6
feel,6
Tonight,6
young,6
set,6
burn,6
someone,6
tonight,6
come,6
never,6
始まる,6
奥,6
ため息,6
隣,6
行こう,6
つまら,6
笑え,6
背中,6
无,5
匂い,5
負ける,5
紅蓮,5
耳,5
見える,5
need,5
うまく,5
傷つく,5
探す,5
優し,5
笑える,5
ラブ,5
ソング,5
きり,5
たび,5
負け,5
混音,5
身,5
っ,5
気づか,5
探し,5
パッ,5
繋い,5
ああ,5
出来,5
離れ,5
You,5
myself,5
変わり,5
生きる,5
答え,5
流れ,5
居,5
つい,5
思え,5
いれ,5
繰り返し,5
続き,5
映画,5
朝,5
限りなく,5
感謝,5
続く,5
ホント,5
べき,5
My,5
higher,5
things,5
down,5
find,5
扉,5
歌え,5
every,5
いちばん,5
過去,5
勇気,5
虹,5
向かっ,5
伸び,5
くだら,5
毎日,5
时代,5
风,5
感じ,5
一瞬,5
連れ,4
進め,4
だらけ,4
into,4
華,4
tell,4
揺れ,4
上手く,4
いか,4
しよう,4
溺れ,4
気づい,4
日差し,4
霞ん,4
受け止める,4
こころ,4
言える,4
つけ,4
電話,4
追いかけ,4
物語,4
War,4
行け,4
やっ,4
光っ,4
しれ,4
刻ん,4
わた,4
1,4
new,4
Kill,4
必ず,4
stay,4
alive!!,4
have,4
渡る,4
Loneliness!!,4
it's,4
you!,4
澄ん,4
作詞,4
教え,4
楽,4
弱,4
不安,4
暗く,4
在る,4
鮮やか,4
死体,4
夜中,4
奴,4
認め,4
伝える,4
為,4
理解,4
難い,4
asking,4
take,4
thought,4
could,4
ストーリー,4
いでよ,4
ふと,4
up,4
かけ,4
溢れる,4
憧れ,4
すぎ,4
テーマ,4
七色,4
大丈夫,4
行ける,4
さあ,4
合っ,4
話,4
Yoshiki,4
Mizuno,4
吹い,4
梦,4
つなぎ,4
消せ,3
止まれ,3
打ちのめさ,3
咲き誇れ,3
下,3
本気,3
簡単,3
片付け,3
血,3
結末,3
*,3
ゆらゆら,3
退屈,3
伸ばせ,3
沈ん,3
しまえ,3
いっそ,3
ごと,3
行っ,3
背,3
でく,3
共,3
重ね,3
つながっ,3
素直,3
温もり,3
都会,3
点,3
写真,3
ど,3
出逢っ,3
新しい,3
太,3
爱,3
呼ぶ,3
~,3
大きな,3
出会える,3
しょう,3
same,3
save,3
め,3
ー,3
はじめ,3
解かし,3
続い,3
欲しかっ,3
言っ,3
空気,3
戻れ,3
魔法,3
頃,3
数,3
壁,3
prove,3
That,3
lived,3
today,3
Starting,3
Now!!,3
変え,3
なんか,3
Maybe,3
怯え,3
頬,3
泡沫,3
たとえ,3
届け,3
呼吸,3
証,3
叶わ,3
嬉しい,3
悲しい,3
秘密,3
地,3
ぼやけ,3
あふれ,3
足り,3
閉じ,3
彩る,3
出来る,3
昔,3
気力,3
わずか,3
捨て,3
サイン,3
死ぬ,3
取っ,3
鞄,3
他人,3
歌い,3
力,3
流離い,3
friends,3
bar,3
you're,3
not,3
run,3
想い出,3
四,3
過ごす,3
メロディー,3
がっ,3
つまづい,3
なき,3
あがる,3
指先,3
震え,3
やり,3
傷つい,3
響く,3
いろんな,3
となり,3
笑,3
颜,3
わたる,3
叫ん,3
振り,3
望み,3
ROCK,2
_,2
灯,2
震える,2
守れ,2
乗り越え,2
宿っ,2
無情,2
吹く,2
願っ,2
Luna,2
もやもや,2
繋ぎ,2
不確か,2
感覚,2
絶え間,2
奪え,2
攫っ,2
眩しい,2
揺れる,2
白い,2
ワン,2
ピース,2
みつけ,2
寄せ,2
寂し,2
凍える,2
祈り,2
込め,2
切っ,2
止まら,2
交差,2
立ち止まる,2
ビル,2
こたえ,2
一緒,2
吉他,2
母带,2
ふわ,2
ふわり,2
ふわふわ,2
浮かぶ,2
後,2
最高,2
红莲,2
弓矢,2
囚われ,2
其の,2
CRIER,2
愛撫,2
LIAR,2
Eid,2
聖,2
Rising,2
HELL,2
Game,2
Day,2
生,2
Lie,2
兵士,2
World,2
Eyes-Hate-War,2
☆,2
ふ,2
みんな,2
いざ,2
前前,2
前世,2
笑い,2
1,2
はじめる,2
2019,2
こう,2
遊び,2
真剣,2
どうせ,2
降ら,2
2020,2
only,2
熊木,2
杏里,2
超え,2
巻き戻し,2
自由,2
近く,2
昨日,2
決定,2
証明,2
brand,2
age,2
From,2
day!!,2
去っ,2
自ら,2
存在,2
形,2
響き,2
Wake,2
from,2
too,2
follow,2
fade,2
away!,2
close,2
me!,2
Hotaka,2
Yamashita,2
山下,2
穂,2
尊,2
街並み,2
歩こう,2
持っ,2
怖,2
濁っ,2
灯り,2
灯る,2
覚まし,2
あえて,2
当たり前,2
別れ,2
戸惑い,2
綻び,2
なくし,2
ふり,2
たる,2
程,2
自己,2
とっ,2
音楽,2
駄目,2
特別,2
遅い,2
不意,2
早く,2
方法,2
才能,2
悩ん,2
楽しく,2
幾ら,2
残さ,2
苛立ち,2
糧,2
失う,2
眼,2
お前,2
必死,2
目的,2
戦い,2
成り,2
I',2
months,2
trying,2
forget,2
closes,2
falling,2
got,2
Carry,2
Just,2
side,2
hear,2
聞こえ,2
分かる,2
葉,2
暖か,2
ちゃんと,2
分,2
ずつ,2
回り道,2
ぬぐっ,2
瞳,2
迷っ,2
隙間,2
ドキドキ,2
いよう,2
楽しん,2
繋がっ,2
そっと,2
部屋,2
吸っ,2
横,2
笑い合っ,2
ものすごく,2
愛おしい,2
